status,product_area,response,justification,request_type
escalated,general,This issue requires further review. Please contact official support.,Retrieval confidence 0.08 is below threshold 0.08.; Retrieval confidence 0.07 is below threshold 0.08.,product_issue
escalated,bugs,This issue requires further review. Please contact official support.,Retrieval confidence 0.05 is below threshold 0.08.,bug
escalated,account_management,This issue requires further review. Please contact official support.,Retrieval confidence 0.07 is below threshold 0.08.,product_issue
replied,billing,"Pause Subscription Last updated: Mar 6, 2026, 12:18 AM (Last updated 2 months ago) The Pause Subscription feature allows individual self serve plan subscribers to temporarily pause their HackerRank subscription instead of canceling it. This feature enables you to resume your subscription whenever needed, ensuring flexibility and uninterrupted access when required. Prerequisites To use the Pause Subscription feature, ensure the following conditions are met: 1. You must have an active subscription that started at least 30 days ago. This includes accounts in a renewal grace period (7 days) due to a late recurring payment. 2.",Response is grounded in the retrieved support corpus.,product_issue
replied,bugs,Claude Help Center Exported 321 articles. Amazon Bedrock How do I get access to Claude in Amazon Bedrock? How do I learn more about Amazon and Anthropic’s strategic collaboration? I use Claude in Amazon Bedrock. Who do I contact for customer support inquiries? What AWS Regions are Claude models available in Amazon Bedrock?,Response is grounded in the retrieved support corpus.,bug
escalated,security,This issue requires further review. Please contact official support.,Retrieval confidence 0.03 is below threshold 0.08.,product_issue
replied,general,"Create a Resume with Resume Builder Last updated: Mar 7, 2025, 4:17 PM (Last updated 1 year ago) The HackerRank Resume Builder is a powerful tool that helps you create a professional resume in just a few steps. It allows you to showcase your skills, achievements, and certifications to stand out to potential employers. Creating a resume with Resume Builder You can create a resume in one of the following ways: Build from scratch using a template. Import an existing resume in .doc, .docx, or .pdf format. Creating a resume from scratch To create a resume from scratch: 1. Log in to HackerRank Community using your credentials.",Response is grounded in the retrieved support corpus.,bug
replied,general,"Certifications FAQs Last updated: Apr 1, 2026, 2:32 PM (Last updated 4 weeks ago) Can I update the name on my certificate? Yes. You can update the name on your certificate only once per account. When you update your name, the change applies to all your certificates. After you update it, you cannot change it again. To update the name on your certificate: !Untitled 1434.gif 1.",Response is grounded in the retrieved support corpus.,product_issue
replied,billing,"Dispute Resolution Last modified: 2023 11 28T01:50:01.804Z Resolve disputes quickly Learn the basics about how to handle disputes. Protect your business Learn the basics. Although most sales transactions are processed, posted and paid for with few problems, Visa has an efficient process for settling disputes. Safeguard your business with the right information Disputes refer to the reversal of the value (in whole or in part) of a transaction by the card issuer to the acquirer, and usually, by the merchant bank to the merchant. Chargeback can be costly for merchants – you could lose both the cash amount of the transaction as well as the related merchandise, and may also incur internal handling costs. Download the dispute guidelines Responding to a dispute Provide accurate information, swiftly.",Response is grounded in the retrieved support corpus.,product_issue
replied,security,"Public Vulnerability Reporting Last updated: 2026 03 16T20:47:01Z Help us improve AI safety by reporting universal jailbreaks This form allows you to submit universal jailbreaks for ASL 3 uses of concern (meaning elicit information related to biological threats) that you've identified. Universal jailbreaks are techniques that allow users to consistently bypass safety measures across multiple harmful queries. Report a security vulnerability The security of our systems and user data is Anthropic’s top priority. We appreciate the work of security researchers acting in good faith in identifying and reporting potential vulnerabilities. Please review our Responsible Disclosure Policy, which includes a section on How to Submit a Report . Thank you very much for helping us to keep Anthropic safe.",Response is grounded in the retrieved support corpus.,bug
replied,general,"Does Anthropic crawl data from the web, and how can site owners block the crawler? Last updated: 2026 04 07T21:18:35Z As per industry standard, Anthropic uses a variety of robots to gather data from the public web for model development, to search the web, and to retrieve web content at users’ direction. Anthropic uses different robots to enable website owner transparency and choice. Below is information on the three robots that Anthropic uses and how to set your site preferences to enable those you want to access your content and limit those you don’t. As part of our mission to build safe and reliable frontier systems and advance the field of responsible AI development, we’re sharing the principles by which we collect data as well as instructions on how to opt out of our crawling going forward: Our collection of data should be transparent . Anthropic uses the Bots described above to a...",Response is grounded in the retrieved support corpus.,product_issue
replied,general,"Visa Travel Services Visa Travel Credit Card Support Last modified: 2026 04 01T08:07:35.955Z The magic of travel begins with a single tap. With Visa, travelling the world is beautifully simple. Discover the magic of travel with Laufey Wherever you wander, let every journey feel simple, secure, and full of possibility. Why travel with Visa Tools Offers and perks Tips If you’re going to China Travel help Explore Destinations Why travel with Visa Accepted all around the world One card. 200+ countries. 80m+ merchants worldwide.",Response is grounded in the retrieved support corpus.,product_issue
replied,feature_request,"I would like to input sensitive data into my chats with Claude. Who can view my conversations? Last updated: 2026 03 16T21:15:09Z This article is about our consumer products (e.g. Claude Free, Pro, Max (and when using Claude Code with those accounts)). How We Protect Your Data When You Help Improve Claude When you allow us to use your chats or coding sessions to help improve Claude, we implement several layers of protection for your privacy. Privacy Protections We Provide We automatically de link your data from your user ID (like your email address) before any review.",Response is grounded in the retrieved support corpus.,feature_request
replied,general,"Hidden Test Cases for Front End, Back End and Full Stack Questions Last updated: Dec 24, 2024, 4:52 AM (Last updated 1 year ago) Overview HackerRank Tests allows you to hide your test cases for the Front end, Back End, and Full Stack question types. This article will walk you through the process of adding Hidden Test Cases to your project file. Steps to Add Hidden Test Cases In the “Setup Project” step of question creation, you can add test case files you intend to hide from the candidate inside the project and declare its path inside the Hackerrank.yml file. !image3.png On clicking the “Validate and save” button, the question will be validated for any discrepancies in the hidden test case declaration. !image5.png If the read only files or hidden files are detected in the project, the candidate will see an instruction file PROJECT FILES INSTRUCTIONS.md which would read: Read only File...",Response is grounded in the retrieved support corpus.,product_issue
escalated,general,This issue requires further review. Please contact official support.,Retrieval confidence 0.00 is below threshold 0.08.; Security-sensitive issue detected.,product_issue
replied,bugs,"I use Claude in Amazon Bedrock. Who do I contact for customer support inquiries? Last updated: 2026 03 16T21:17:13Z Contact AWS Support for Claude in Amazon Bedrock support inquiries or reach out to your AWS account manager. For community based support, visit AWS re:Post. How can I get a refund for my usage through Amazon Bedrock? If you're using Claude through AWS Bedrock, your usage is non refundable.",Response is grounded in the retrieved support corpus.,bug
escalated,general,This issue requires further review. Please contact official support.,Retrieval confidence 0.07 is below threshold 0.08.,product_issue
replied,general,"Set up the Claude LTI in Canvas by Instructure Last updated: 2026 03 16T21:04:03Z This article provides information on how to enable the Claude LTI integration in Canvas LMS. These steps are intended for Claude for Education administrators and Learning Management Systems (LMS) administrators. Creating Claude LTI Developer Key in Canvas 1. In Canvas, sign in as an administrator and navigate to Admin Developer Keys . 2. Click ""+ Developer Key"" then ""+ LTI Key."" 3.",Response is grounded in the retrieved support corpus.,product_issue
replied,general,"Visa Travel Services Visa Travel Credit Card Support Last modified: 2026 04 01T08:07:35.955Z The magic of travel begins with a single tap. With Visa, travelling the world is beautifully simple. Discover the magic of travel with Laufey Wherever you wander, let every journey feel simple, secure, and full of possibility. Why travel with Visa Tools Offers and perks Tips If you’re going to China Travel help Explore Destinations Why travel with Visa Accepted all around the world One card. 200+ countries. 80m+ merchants worldwide.",Response is grounded in the retrieved support corpus.,product_issue
